Where is this Williams,,,,,,,,,
,,,,,,,,,
Rank,Username,Total,Tony's Sombrero,Wachenheim Center,Tunnel City Building,Mission House,Schapiro Hall,Sawyer Library,Prospect
1,maxd2025,80,10,10,10,10,20,10,10
1,kemithemartini,80,10,10,10,10,20,10,10
1,keono.co,80,10,10,10,10,20,10,10
1,sydneypuntus,80,10,10,10,10,20,10,10
1,zoenuland,80,10,10,10,10,20,10,10
1,remu.e,80,10,10,10,10,20,10,10
7,math_nach,70,10,10,10,10,20,10,0
7,annabel_1454,70,10,10,10,10,20,0,10
9,kiirumys,60,10,10,0,10,20,10,0
9,penelope.grahammm,60,10,0,10,10,20,10,0
9,ainsleyabel24,60,10,10,10,10,0,10,10
12,greywarren__,50,10,10,10,0,20,0,0
12,elly_ameme,50,10,0,0,10,20,10,0
12,eleanor_dashwouldnt,50,10,10,0,0,20,10,0
12,christian_sullivan8,50,10,10,10,10,0,0,10
12,mychelsegrini,50,0,10,10,0,20,0,10
12,coconormannn,50,0,0,0,10,20,10,10
12,kevin_zaruma1,50,10,0,0,0,20,10,10
19,nimrut_kaila,40,10,10,10,10,0,0,0
19,catherine.stetson,40,10,10,10,0,0,10,0
19,julietkilborn,40,0,0,0,10,20,10,0
19,jrat1224,40,10,10,0,10,0,0,10
19,campbell_pang,40,10,10,0,10,0,0,10
24,literallyraul,30,10,10,0,10,0,0,0
24,teklamodebadzee,30,0,0,10,0,20,0,0
24,_itr.candy_,30,0,0,0,0,20,10,0
24,isui_07,30,10,0,0,0,0,10,10
28,phaedra_salerno,20,10,0,0,10,0,0,0
28,flaherty_nora,20,0,10,0,10,0,0,0
28,fuqin_lian,20,0,0,10,0,0,10,0
28,rahma.c.ibrahim,20,10,0,0,0,0,0,10
28,caleb.kohn,20,0,0,0,0,0,10,10
33,jackk.cheng_,10,10,0,0,0,0,0,0
33,mollysully24,10,10,0,0,0,0,0,0
33,rizz.wuh,10,0,10,0,0,0,0,0
33,aakash.d123123,10,0,10,0,0,0,0,0
33,rigelvelez,10,0,10,0,0,0,0,0
33,llemxny_,10,0,10,0,0,0,0,0
33,ky.khalil,10,0,10,0,0,0,0,0
33,phaendra_salerno,10,10,0,0,0,0,0,0
33,lutejerina,10,0,10,0,0,0,0,0
33,__allisonlee,10,0,10,0,0,0,0,0
33,sahilsajid_,10,0,0,0,0,0,10,0
33,hcurfman11,10,0,0,0,0,0,0,10
33,keepingupwiththemillerz,10,0,0,0,0,0,0,10
46,wiswiznl,0,0,0,0,0,0,0,0
46,teo_fior1,0,0,0,0,0,0,0,0
46,milhansarfraz,0,0,0,0,0,0,0,0
46,alexhe.mc,0,0,0,0,0,0,0,0
46,jaidenj_e,0,0,0,0,0,0,0,0
46,williamsstudentunion,0,0,0,0,0,0,0,0
